ym,census_mean,census_p95,occ_mean,occ_p95,edwin_mean,nedocs_mean,readi_mean,board_mean,arr_per_hr,awt_curr_min,visits,arr_per_day,gap_hours,days_observed,bed_med_min,icu_med_min
2024-06,49.577777777777776,70.04999999999995,123.94444444444444,175.1249999999999,17.427091666666666,178.5234027777778,6.622594722222223,30.508333333333333,7.722222222222222,1060.8034722222221,5562,185.33333333333334,0,30,1284.5,318.0
2024-07,52.240591397849464,69.0,130.60147849462365,172.5,23.38007325268817,186.37568548387097,6.639720161290322,34.028225806451616,7.073924731182796,1181.616935483871,5262,169.7741935483871,0,31,1529.0,273.0
2024-08,36.26209677419355,61.85000000000002,90.65524193548387,154.62500000000006,7.012868817204302,120.99249999999999,4.994647580645162,20.28494623655914,6.396505376344086,811.9879032258065,4758,153.51612903225805,0,31,597.0,269.0
2024-09,31.618055555555557,51.0,79.04513888888889,127.5,2.6991143055555558,100.31622222222221,4.741905694444444,16.554166666666667,6.925,558.41875,4987,166.2,0,30,582.0,290.5
2024-10,40.52284946236559,58.0,101.30712365591398,145.0,4.428434811827957,131.1356989247312,5.5831520161290324,23.436827956989248,6.895161290322581,813.567876344086,5132,165.48387096774195,0,31,1036.0,212.0
2024-11,30.520833333333332,47.0,76.30208333333333,117.5,1.8094630555555555,93.00500000000001,4.556866805555556,16.5,6.575,571.2208333333333,4732,157.8,0,30,614.0,230.0
2024-12,30.827956989247312,47.0,77.06989247311827,117.5,1.4757345430107527,95.38916666666665,4.631432392473118,16.087365591397848,6.462365591397849,516.9704301075269,4808,155.09677419354838,0,31,551.0,259.0
2025-01,36.526881720430104,53.0,91.31720430107526,132.5,2.435575,113.63604838709678,5.605291801075269,18.916666666666668,8.13978494623656,610.4630376344086,6067,195.35483870967744,0,31,713.5,231.0
2025-02,45.74107142857143,67.0,114.35267857142857,167.5,12.550723511904762,149.02215773809525,6.550311458333333,25.958333333333332,8.342261904761905,757.5379464285714,5597,200.21428571428572,0,28,916.0,249.0
2025-03,33.67741935483871,52.0,84.19354838709677,130.0,2.3974143817204303,111.45737903225806,4.973720026881721,18.581989247311828,6.778225806451613,590.8481182795699,5040,162.67741935483872,0,31,681.0,291.0
2025-04,35.172222222222224,63.0,87.93055555555556,157.5,6.962258749999999,116.61830555555555,5.035473472222222,20.745833333333334,6.408333333333333,644.2826388888889,4613,153.8,0,30,700.0,279.0
2025-05,32.62768817204301,56.0,81.56922043010752,140.0,5.332746774193549,106.4947311827957,4.76185685483871,18.698924731182796,6.271505376344086,605.7137096774194,4668,150.51612903225805,49,30,610.5,375.0
2025-06,37.94027777777778,55.0,94.85069444444444,137.5,5.978636111111111,127.65091666666667,5.430712777777777,22.554166666666667,6.752777777777778,661.6972222222222,4865,162.06666666666666,48,29,788.0,277.0
2025-07,39.19489247311828,56.0,97.9872311827957,140.0,6.399497983870967,129.85373655913978,5.38269126344086,23.678763440860216,6.575268817204301,735.5893817204301,4894,157.80645161290323,1,31,866.5,323.0
2025-08,29.692204301075268,45.85000000000002,74.23051075268818,114.62500000000006,1.349748924731183,86.68826612903226,4.508938844086022,15.053763440860216,6.395161290322581,516.5974462365591,4753,153.48387096774195,49,30,498.0,262.5
2025-09,37.90833333333333,54.0,94.77083333333333,135.0,2.9155768055555553,120.386,5.3743823611111115,22.080555555555556,6.895833333333333,658.18125,4967,165.5,0,30,825.0,233.0
2025-10,31.662634408602152,49.85000000000002,79.15658602150538,124.62500000000006,1.681905376344086,93.0424059139785,4.869880510752688,15.915322580645162,6.956989247311828,503.1619623655914,5176,166.96774193548387,0,31,517.0,267.0
2025-11,28.069444444444443,42.0,70.17361111111111,105.0,1.1699697222222223,81.03105555555555,4.483369166666667,13.373611111111112,6.558333333333334,444.30069444444445,4723,157.4,0,30,397.0,244.0
2025-12,29.51478494623656,44.0,73.78696236559139,110.0,1.4119716397849464,98.38233870967743,4.546482123655914,14.766129032258064,6.163978494623656,499.7217741935484,4581,147.93548387096774,0,31,450.0,299.0
